,F99,F19,G23
sn2006hb,652.3112141393918,,619.8769918792643
sn2006hb,652.3112141393918,,619.8769918792643
sn2008fl,1367.3985146452846,1432.299472529614,1378.5104417298464
sn2007jg,489.0290504995924,488.7410171080317,490.6320685929875
sn2008R,882.8436935617339,885.1912552502891,879.1114623704498
sn2009ad,642.6559490891402,652.472993949611,674.6133552995702
sn2006ob,231.887790121992,225.1970947649892,235.60311935629943
sn2009ds,1061.4829822471584,1046.800789910232,1036.7183633962468
sn2007hx,379.8459775741404,366.1391778993044,380.64985097269823
sn2007bd,738.4914265687443,738.0042330515821,729.1926481960953
sn2004ey,1196.3257220345274,1203.52543897574,1228.7232356354623
sn2007so,630.8313787191313,620.4433692166864,630.1570427992659
sn2009ab,454.4594371413362,455.5120444163475,448.41663263210296
sn2007A,113.82300872667788,109.81870074598793,110.9260020462821
sn2008gl,1058.2590811497666,1023.2669598211957,1062.3486072974565
sn2007nq,934.0335394146316,941.6405037097144,925.3124995880706
sn2007on,2377.447750308097,2376.596511033592,2372.359856851488
sn2008hj,673.5967420527855,680.5909319906308,684.4131336214491
sn2007st,564.641481287728,553.6553541016153,574.4180036202463
sn2009le,136.1702232502607,136.81681815442,136.94389400205534
sn2005hc,877.3121013189351,830.1691159049026,890.5845334121213
sn2005bo,60.6965933616366,57.92785462439669,55.94703479259735
sn2008fu,550.784440086128,557.4865368844884,526.2935846268992
sn2004gs,566.2112830980732,567.3911003599349,564.6461935884391
sn2008ff,1826.0880266154084,1868.2013467381803,1838.8947231353973
sn2006D,644.5597784986172,634.8764552149602,641.0565762097518
sn2005M,969.663512937932,950.746976651334,968.2896926646137
sn2007S,391.8349275719896,395.6692303791,398.183143698314
sn2006bh,1014.2405211108209,1008.7034587850594,1012.7108779767852
sn2009al,397.9831021031154,379.2086523676526,389.631686588542
sn2008O,252.9868148661392,251.27053226487604,259.0670754420459
sn2006lu,608.6433019778808,575.6261706588054,597.455198375466
sn2007bm,209.24422128108856,221.19051090616577,211.5224539881129
sn2007sr,447.273892730549,447.43113200234046,445.5618993355242
sn2008bz,598.1928812650302,632.2259126550181,603.9642312187273
sn2014J,25707.239176939736,27249.500476331963,28915.22894478587
sn2005A,623.4725527948617,654.5814272729651,656.6217492268333
sn2004ef,4127.590039978153,4102.385286464152,4129.186005202462
sn2006ax,814.946954675476,803.2664964810489,813.964990118273
sn2005ku,136.643012413416,143.08133401032035,146.8424329517754
sn2008gg,1419.5742009100015,1422.3911046065102,1394.1194932904607
sn2007ca,274.14224817742024,280.23510398498,288.2323945449083
sn2005lu,180.5328277097911,187.4384601452213,197.3548419592701
sn2006gj,146.97771924946366,140.30844200617491,146.7354686579492
sn2008ar,747.6978996716123,722.7165299590545,742.2480411987179
sn2006et,836.0871892616171,850.9655797071166,850.1401808240075
sn2007ai,157.39949884020703,158.90819988851712,156.72522085433013
sn2009I,47.71151878158621,46.02849653061374,47.85627002480314
sn2006kf,535.0934288379021,527.2690037354295,530.6761853433334
sn2008hu,881.1214188010416,899.5467412928348,874.9405935077244
sn2008cc,771.9105664846659,775.6507834159289,781.3640901858784
sn2009aa,1285.6730767809545,1227.6279575442363,1264.1393791209505
sn2006os,290.0153576625593,275.82259578266246,284.04766510245213
sn2008hv,1101.245359549691,1112.4303707399474,1106.642723587742
sn2008go,138.6299293986907,128.20313324825625,129.9568409269498
sn2006br,115.43862587734006,118.01078295150944,111.77279396324352
sn2005eq,669.6493368631411,663.6743281238364,683.5091865508728
sn2008fp,2035.682926354475,2045.855462657657,2031.1729761654008
sn2008C,474.5529379058297,473.4619287751738,482.0755317975062
sn2006X,1098.9122978640871,2141.213687605904,1138.2709274934343
sn2007jd,399.5450145401072,412.9214358286997,399.0016488641528
sn2005kc,239.0283205333708,230.94047996985933,220.2427679076021
sn2006ej,259.2007020761771,255.2356162817375,274.4417262608043
sn2005al,608.752479408183,595.5113971296129,600.078840406045
sn2005am,950.2094794505556,966.5777430099208,932.7592983802034
sn2006hx,413.4649093557183,412.2406571316519,423.3434472154116
sn2008cf,899.2986389812428,946.192421179495,906.131262716154
sn2009ag,728.5478586781326,704.3943460620568,716.682984929014
sn2008fw,390.1187519456667,389.6963942493331,401.77482304082366
sn2007af,598.9501592221684,591.7628856909145,596.2228740545769
sn2006is,1114.3792720240622,1113.4106924530993,1164.965518656112
sn2004eo,2401.552853186577,2258.293942248293,2211.4979677159536
sn2008bf,941.1745874418168,962.6329471621682,921.2759194395692
sn2008fr,1040.8081843191665,1037.0587147636295,999.554834662228
sn2008gp,1363.2005283540648,1373.2371295950263,1388.0965510586975
sn2009cz,385.6224334861457,379.6479887999214,393.402047637782
sn2002cv,156.4596619856138,138.8216849199725,134.19628070014787
sn2007le,509.9416675244753,501.068119491212,505.57955604680905
sn2009P,356.41602221604643,352.8729253837962,350.2729091660137
sn2009D,1200.023503322341,1182.4674312381298,1199.959080080867
sn2008ia,744.4158594678751,772.6284739888521,766.7531949232657
sn2008bc,777.3447265548439,746.6509637919701,737.6769451018546
sn2005na,922.7997085318788,887.2941176916196,906.8561475544952
sn2009Y,727.229503574618,717.0682935964503,727.0176418885387
sn2007ux,488.9647901725399,485.0244421527924,485.4470490979445
sn2007as,476.6064647657682,495.86908004648905,478.70814732515566
sn2007hj,1699.1283169181115,1697.9101287262524,1693.1464028100513
sn2005ki,749.0907605248633,739.8061714072779,741.0730483481556
sn2007bc,366.2133881656214,367.0220281677352,388.8612253871828
sn2005iq,630.1063181669198,636.6693587138427,622.0006754504236
sn2008bq,1063.294277455528,1037.8510406292123,1009.4773013791194
